0,Test
1,Character Makeup Test
20,20: NT version A (Wandering Knight)
21,21: NT version B (North Warrior)
22,22: NT version C (Wizard)
23,23: NT version D (Temple Knight)
1000,Newgame presets Face _ man 0
1001,Newgame preset Face _ man 1
1002,Newgame presets Face _ Man 2
1003,Newgame Preset Face _ Man 3
1004,Newgame Preset Face _ man 4
1005,Newgame Preset Face _ man 5
1006,Newgame Preset Face _ man 6
1007,Newgame Presets Face _ Man 7
1008,Newgame presets Face _ Man 8
1009,Newgame Presets Face _ Man 9
2000,Newgame preset Face _ woman 0
2001,Newgame preset Face _ woman 1
2002,Newgame preset Face _ woman 2
2003,Newgame preset Face _ woman 3
2004,Newgame preset Face _ woman 4
2005,Newgame preset Face _ woman 5
2006,Newgame preset Face _ woman 6
2007,Newgame preset Face _ woman 7
2008,Newgame preset Face _ woman 8
2009,Newgame preset Face _ woman 9
3000,0 for base body (mixed)
3001,For base body 1 (mixed)
3002,For base body 2 (mixed)
3003,For base body 3 (mixed)
3004,For base body 4 (mixed)
3005,For base body 5 (mixed)
3006,For base body 6 (mixed)
3007,Base Body 7 (mixed)
3008,For base body 8 (mixed)
3009,Base Body 9 (mixed)
4000,Character make top menu male
5000,Character make top menu female
9999,Phantom (no Face)
