2000,[Vordt] Soul of Boreal Valley Vordt
2001,[Vordt] Echo of Vordt
2002,[Vordt] Awestone
2010,[Dancer] Soul of the Dancer
2011,[Dancer] Echo of the Dancer
2012,[Dancer] Awestone
2013,[Dancer] Shard of Ascension
2020,[Oceiros] Soul of Consumed Oceiros
2021,[Oceiros] Echo of Oceiros
2022,[Oceiros] Awestone
2023,[Oceiros] Shard of Ascension
2030,[Dragonslayer Armour] Soul of Dragonslayer Armour
2031,[Dragonslayer Armour] Echo of Dragonslayer Armour
2032,[Dragonslayer Armour] Awestone
2033,[Dragonslayer Armour] Shard of Ascension
2040,[Prince Lothric] Cinders of a Lord
2041,[Prince Lothric] Soul of the Twin Princes
2042,[Prince Lothric] Echo of the Twin Princes
2043,[Prince Lothric] Awestone
2044,[Prince Lothric] Shard of Ascension
2060,[Curse-rotted Greatwood] Soul of the Rotted Greatwood
2061,[Curse-rotted Greatwood] Echo of Rotted Greatwood
2062,[Curse-rotted Greatwood] Awestone
2070,[Ancient Wyvern] Dragon Head Stone
2071,[Ancient Wyvern] Echo of the Ancient Wyvern
2072,[Ancient Wyvern] Awestone
2080,[Nameless King] Soul of the Nameless King
2081,[Nameless King] Echo of the Nameless King
2082,[Nameless King] Awestone
2083,[Nameless King] Shard of Ascension
2090,[Crystal Sage] Soul of a Crystal Sage
2091,[Crystal Sage] Echo of the Crystal Sage
2092,[Crystal Sage] Awestone
2100,[Abyss Watchers] Cinders of a Lord
2101,[Abyss Watchers] Soul of the Blood of the Wolf
2102,[Abyss Watchers] Echo of the Abyss Watchers
2103,[Abyss Watchers] Awestone
2104,[Abyss Watchers] Shard of Ascension
2110,[Deacons of the Deep] Soul of the Deacons of the Deep
2111,[Deacons of the Deep] Echo of the Deacons
2112,[Deacons of the Deep] Awestone
2120,[Pontiff Sulyvahn] Soul of Pontiff Sulyvahn
2121,[Pontiff Sulyvahn] Echo of Pontiff Sulyvahn
2122,[Pontiff Sulyvahn] Awestone
2123,[Pontiff Sulyvahn] Shard of Ascension
2130,[Aldrich] Cinders of a Lord
2131,[Aldrich] Soul of Aldrich
2132,[Aldrich] Echo of Aldritch
2133,[Aldrich] Awestone
2134,[Aldrich] Shard of Ascension
2140,[Wolnir] Soul of High Lord Wolnir
2141,[Wolnir] Echo of High Lord Wolnir
2142,[Wolnir] Awestone
2150,[Old Demon King] Soul of the Old Demon King
2151,[Old Demon King] Echo of the Old Demon King
2152,[Old Demon King] Awestone
2153,[Old Demon King] Shard of Ascension
2170,[Yhorm] Cinders of a Lord
2171,[Yhorm] Soul of Yhorm the Giant
2172,[Yhorm] Echo of Yhorm the Giant
2173,[Yhorm] Awestone
2174,[Yhorm] Shard of Ascension
2180,[Iudex Gundyr] Coiled Sword
2181,[Iudex Gundyr] Valiant Memory of Iudex Gundyr
2190,[Champion Gundyr] Soul of Champion Gundyr
2191,[Champion Gundyr] Echo of Champion Gundyr
2192,[Champion Gundyr] Awestone
2193,[Champion Gundyr] Shard of Ascension
2200,[Soul of Cinder] Soul of the Lords
2201,[Soul of Cinder] Crown of the Great Lord
2202,[Soul of Cinder] Echo of Cinder
2203,[Soul of Cinder] Awestone
2204,[Soul of Cinder] Shard of Ascension
2210,[Soul of Cinder] Ring of the Exalted
2300,[Sister Friede] Soul of Sister Friede
2301,[Sister Friede] Echo of Sister Friede
2302,[Sister Friede] Awestone
2303,[Sister Friede] Shard of Ascension
2310,[Champion's Gravetender] Champion's Bones
2311,[Champion's Gravetender] Echo of Champion's Gravetender
2312,[Champion's Gravetender] Awestone
2330,[Demon Prince] Soul of the Demon Prince
2331,[Demon Prince] Echo of the Demon Prince
2332,[Demon Prince] Awestone
2333,[Demon Prince] Shard of Ascension
2340,[Halflight] Titanite Slab
2341,[Halflight] Filianore's Spear Ornament
2342,[Halflight] Awestone
2350,[Midir] Soul of Darkeater Midir
2351,[Midir] Spears of the Church
2352,[Midir] Echo of Darkeater Midir
2353,[Midir] Awestone
2354,[Midir] Shard of Ascension
2360,[Slave Knight Gael] Soul of Slave Knight Gael
2361,[Slave Knight Gael] Blood of the Dark Soul
2362,[Slave Knight Gael] Echo of Slave Knight Gael
2363,[Slave Knight Gael] Awestone
2364,[Slave Knight Gael] Shard of Ascension
2500,Coiled Sword
2520,None
4000,[Giant Tree] Seed of a Giant Tree
4010,Rosaria's Fingers - Emblem
4020,Way of White Circlet
4200,[Covenant] Warrior of Sunlight - Emblem
4207,[Covenant] Warrior of Sunlight Rank 2 - Sunlight Straight Sword
4208,[Covenant] Warrior of Sunlight Rank 1 - Sunlight Shield
4210,[Covenant] Mound-makers - Emblem
4217,[Covenant] Mound-makers Rank 2 - Warmth
4218,[Covenant] Mound-makers Rank 1 - Bloodlust
4220,[Covenant] Watchdogs of Farron - Emblem
4226,[Covenant] Watchdogs of Farron Rank 2 - Wolf Knight's Greatshield
4227,[Covenant] Watchdogs of Farron Rank 2 - Wolf Ring
4228,[Covenant] Watchdogs of Farron Rank 1 - Old Wolf Curved Sword
4230,[Covenant] Aldrich Faithful - Emblem
4237,[Covenant] Aldrich Faithful Rank 2 - Archdeacon's Great Staff
4238,[Covenant] Aldrich Faithful Rank 1 - Archdeacon's Longstaff
4240,[Covenant] None
4247,None
4248,None
4250,[Covenant] Blade of the Darkmoon - Emblem
4257,None
4258,None
4260,[Covenant] Rosaria's Fingers - Emblem
4267,[Covenant] Rosaria's Fingers Rank 2 - Man-grub's Staff
4268,[Covenant] Rosaria's Fingers Rank 1 - Obscuring Ring
4270,[Covenant] None
4277,None
4278,None
4280,[Covenant] Spears of the Church - Emblem
4287,[Covenant] Spears of the Church Rank 2 - Divine Spear Fragment
4288,[Covenant] Spears of the Church Rank 1 - Young Grass Dew
4500,[Script] Pale Tongue
4510,[Script] Proof of a Concord Kept
4530,[Hodrick] Vertebra Shackle
4550,Ember
4600,Storm Ruler
4700,[Father Ariandel] Titanite Slab
4810,INVALID
4811,INVALID
4812,INVALID
4813,INVALID
4814,INVALID
5000,Titanite Shard, INVALID, Titanite Scale, Twinkling Titanite, INVALID, INVALID, Rubbish, Pendant
5010,INVALID
5020,Vertebra Shackle
5030,Sunlight Medal
5040,None
5200,INVALID
5210,INVALID
5220,INVALID
5230,INVALID
5240,INVALID
5250,INVALID
5260,INVALID
5270,INVALID
5280,White Sign Soapstone
5500,INVALID
5510,Ember
5520,Ember
5530,Pale Tongue
5540,Forked Pale Tongue
5550,Proof of a Concord Kept
5560,Vertebra Shackle
5570,Proof of a Concord Well Kept
5580,Wolf's Blood Swordgrass
5590,EMPTY
5600,Human Dregs
5610,EMPTY
5620,Filianore's Spear Ornament
5630,Filianore's Spear Ornament
5640,Filianore's Spear Ornament
5650,Filianore's Spear Ornament
5660,Filianore's Spear Ornament
5670,Filianore's Spear Ornament
6000,Divine Blessing, Large Soul of an Unknown Traveler, Soul of a Weary Warrior
6010,Divine Blessing, Rusted Coin, Dung Pie
6020,Divine Blessing, Rusted Coin, Soul of a Deserted Corpse
6030,Divine Blessing, Rusted Coin, Soul of a Weary Warrior
6040,Hidden Blessing, Pale Pine Resin
6050,Divine Blessing, Rusted Coin
6060,Divine Blessing, Rusted Coin
6070,Divine Blessing, INVALID, Rusted Coin
6080,Twinkling Titanite
6090,Ember, Young White Branch
6100,Titanite Scale, Hidden Blessing, INVALID
6110,Titanite Slab
6120,Ember
6130,Ember
6140,Ember
6150,Ember
6160,Ember
6170,Ember
6180,Ember
6190,Ember
9000,Ember
9010,Ember
9020,INVALID
9030,Charcoal Pine Resin
10000,[Sieghardt of Catarina] Zweihander
10001,[Sieghardt of Catarina] Titanite Shard
10100,[Luyila of Londor] Darkdrift
10101,[Luyila of Londor] Twinkling Titanite
10200,[Forgotten Locklin] Dragonslayer's Axe
10201,[Forgotten Locklin] Large Titanite Shard
10300,[Holy Knight Morton] Flamberge
10301,[Holy Knight Morton] Large Titanite Shard
10400,[Lilla of the Sunless Realms] Holy Estoc
10401,[Lilla of the Sunless Realms] Titanite Chunk
10500,[Tiny] Smough's Great Hammer
10501,[Tiny] Titanite Chunk
10600,[Captain Morrel] Lightning Lothric Knight Greatsword
10601,[Captain Morrel] Titanite Shard
10700,[Dominatrix Sharron] Notched Whip
10701,[Dominatrix Sharron] Titanite Chunk
10800,[Morric, the Fallen Knight] Morne's Great Hammer
10801,[Morric, the Fallen Knight] Twinkling Titanite
10900,[Tomb Raider Dyfan] Bone Rapier
10901,[Tomb Raider Dyfan] Twinkling Titanite
11000,[Chaos Servant Eygor] Demon's Axe
11001,[Chaos Servant Eygor] Titanite Scale
11100,[Devotee Scarlett] Twinkling Titanite
11200,[Corrupted Knight Lloyd] Writhing Hammer
11201,[Corrupted Knight Lloyd] Twinkling Titanite
11300,[Fester the Jester] Jester's Talisman
11301,[Fester the Jester] Twinkling Titanite
11400,[Inquisitor Ashford] Moonlight Sword
11401,[Inquisitor Ashford] Titanite Scale
11500,[Dragon Cultist Xeric] Staff of Serpents
11501,[Dragon Cultist Xeric] Dragon Scale
11600,[Huntmaster Ava] Endless Quiver
11601,[Huntmaster Ava] Titanite Shard
11700,[The Pursuer - High Wall of Lothric] Pursuer's Ultra Greatsword
11701,[The Pursuer - High Wall of Lothric] Titanite Scale
11710,[The Pursuer - Lothric Castle] Pursuer's Helm
11711,[The Pursuer - Lothric Castle] Titanite Scale
11720,[The Pursuer - Grand Archives] Pursuer's Armor
11721,[The Pursuer - Grand Archives] Titanite Scale
11730,[The Pursuer - Irithyll] Pursuer's Gauntlets
11731,[The Pursuer - Irithyll] Titanite Scale
11740,[The Pursuer - Profaned Capital] Pursuer's Leggings
11741,[The Pursuer - Profaned Capital] Titanite Scale
11800,[Ollis the Merciless] Bloodletter
11801,[Ollis the Merciless] Twinkling Titanite
11900,[Vileblood Annalise] Chikage
11901,[Vileblood Annalise] Twinkling Titanite
12000,[The Forlorn] Twinspears of the Forlorn
12001,[The Forlorn] Titanite Shard
12100,[Eccentric Archibald] Tonitrus
12101,[Eccentric Archibald] Titanite Shard
12200,[Jailer Eileen] Blades of Mercy
12201,[Jailer Eileen] Titanite Scale
12300,[The Father] Mask of the Father
12301,[The Father] Titanite Chunk
12400,[The Mother] Mask of the Mother
12401,[The Mother] Titanite Chunk
12500,[The Child] Mask of the Child
12501,[The Child] Titanite Chunk
50300,[Ludleth of Courland] Titanite Slab
50400,[Yuria of Londor] Darkdrift
50401,[Yuria of Londor] Yuria's Ashes
50600,[Company Captain Yorshka] Blade of the Darkmoon
50610,[Company Captain Yorshka] Yorshka's Chime
50700,[Hawkwood the Deserter] Titanite Shard
50800,[Sirris of the Sunless Realms] Sunless Talisman
50900,[Ringfinger Leonhard] Cracked Red Eye Orb
50901,[Ringfinger Leonhard] Silver Mask
50902,[Ringfinger Leonhard] Lift Chamber Key
51100,[Shrine Handmaid] Priestess Ring
51200,[Greirat of the Undead Settlement] Blue Tearstone Ring
51201,[Greirat of the Undead Settlement] Greirat's Ashes
51300,[Orbeck of Vinheim] Orbeck's Ashes
51400,[Cornyx of the Great Swamp] Pyromancy Flame
51401,[Cornyx of the Great Swamp] Old Sage's Blindfold
51402,[Cornyx of the Great Swamp] Cornyx's Garb
51403,[Cornyx of the Great Swamp] Cornyx's Wrap
51404,[Cornyx of the Great Swamp] Cornyx's Skirt
51405,[Cornyx of the Great Swamp] Cornyx's Ashes
51500,[Karla] Karla's Pointed Hat
51501,[Karla] Karla's Coat
51502,[Karla] Karla's Gloves
51503,[Karla] Karla's Trousers
51504,[Karla] Karla's Ashes
51600,[Irina of Carim] Tower Key
51601,[Irina of Carim] Irina's Ashes
51700,[Eygon of Carim] Morne's Great Hammer
51701,[Eygon of Carim] Moaning Shield
51900,[Anri of Astora #1] Anri's Straight Sword
51910,[Anri of Astora #2] Anri's Straight Sword
51911,[Anri of Astora #2] Ring of the Evil Eye
52000,[Unbreakable Patches #1] Winged Spear
52001,[Unbreakable Patches #1] Horsehoof Ring
52002,[Unbreakable Patches #1] Patches' Ashes
52010,[Unbreakable Patches #2] Horsehoof Ring
52011,[Unbreakable Patches #2] Patches' Ashes
52020,[Unbreakable Patches #3] Pierce Shield
52021,[Unbreakable Patches #3] Catarina Helm
52022,[Unbreakable Patches #3] Catarina Armor
52023,[Unbreakable Patches #3] Catarina Gauntlets
52024,[Unbreakable Patches #3] Catarina Leggings
52100,[Siegward of Catarina #1] Catarina Helm
52101,[Siegward of Catarina #1] Catarina Armor
52102,[Siegward of Catarina #1] Catarina Gauntlets
52103,[Siegward of Catarina #1] Catarina Leggings
52104,[Siegward of Catarina #1] Storm Ruler
52105,[Siegward of Catarina #1] Pierce Shield
52110,[Siegward of Catarina #2] Catarina Helm
52111,[Siegward of Catarina #2] Catarina Armor
52112,[Siegward of Catarina #2] Catarina Gauntlets
52113,[Siegward of Catarina #2] Catarina Leggings
52114,[Siegward of Catarina #2] Storm Ruler
52115,[Siegward of Catarina #2] Pierce Shield
52116,[Siegward of Catarina #3] Titanite Slab
52300,[High Priestess Emma] Small Lothric Banner
52301,[High Priestess Emma] Basin of Vows
52500,[Giant] Hawk Ring
52600,[Horace the Hushed] Llewellyn Shield
53000,[Londor Pilgrim] Chameleon
53010,[Londor Pilgrim] Sword of Avowal
53011,[Londor Pilgrim] Chameleon
53020,[Pilgrim Dummy] Ceaseless Dung Pie
53100,[Drowsy Forlorn] Homeward Bone
55200,[Sir Vilhelm] Contraption Key
55201,[Sir Vilhelm] Onyx Blade
55400,[Forlorn Corvian Settler] Titanite Slab
55500,[Sister Friede] Chillbite Ring
56200,[Amnesiac Lapp #1] Champion's Bones
56210,[Amnesiac Lapp #2] Siegbräu
56211,[Amnesiac Lapp #2] Champion's Bones
56220,[Amnesiac Lapp #3] Siegbräu
56221,[Amnesiac Lapp #3] Champion's Bones
56230,[Amnesiac Lapp #4] Siegbräu
56231,[Amnesiac Lapp #4] Champion's Bones
56240,[Amnesiac Lapp #5] Siegbräu
56241,[Amnesiac Lapp #5] Champion's Bones
56250,[Amnesiac Lapp #6] Titanite Slab
56251,[Amnesiac Lapp #6] Siegbräu
56252,[Amnesiac Lapp #6] Champion's Bones
56300,[Shira, Knight of Filianore #1] Sacred Chime of Filianore
56301,[Shira, Knight of Filianore #1] Titanite Slab
56302,[Shira, Knight of Filianore #1] Crucifix of the Mad King
56310,[Shira, Knight of Filianore #2] Sacred Chime of Filianore
56311,[Shira, Knight of Filianore #2] Titanite Slab
56312,[Shira, Knight of Filianore #2] Crucifix of the Mad King
56600,[Stone-humped Hag] Old Woman's Ashes
57000,[Black Hand Gotthard] Divine Blessing
57001,[Black Hand Gotthard] Hidden Blessing
57010,[Black Hand Kamui] Onikiri and Ubadachi
57011,[Black Hand Kamui] Titanite Chunk
57100,[Havel the Rock] Dragon Tooth
57101,[Havel the Rock] Havel's Greatshield
57102,[Havel the Rock] Dragon Scale
57200,[Sword Master] Uchigatana
57201,[Sword Master] Master's Attire
57202,[Sword Master] Master's Gloves
57203,[Sword Master] Titanite Shard
57300,[Brigand] Spider Shield
57301,[Brigand] Large Titanite Shard
57400,[Drakeblood Knight] Drakeblood Greatsword
57401,[Drakeblood Knight] Twinkling Titanite
57500,[Rapier Champion] Ricard's Rapier
57501,[Rapier Champion] Twinkling Titanite
57600,[Exile Watchdog] Exile Greatsword
57601,[Exile Watchdog] Large Titanite Shard
57700,[Exile Watchdog] Great Club
57701,[Exile Watchdog] Large Titanite Shard
57800,[Yellowfinger Heysel] Heysel Pick
57801,[Yellowfinger Heysel] Xanthous Crown
57900,[Londor Pale Shade] Manikin Claws
58000,[Lion Knight Albert] Golden Wing Crest Shield
58001,[Lion Knight Albert] Twinkling Titanite
58100,[Daughter of Crystal Kriemhild] Sage's Crystal Staff
58101,[Daughter of Crystal Kriemhild] Twinkling Titanite
58120,[Daughter of Crystal Kriemhild] Crystal Soul Spear
58200,[Court Sorcerer] Logan's Scroll
58201,[Court Sorcerer] Ring of Wisdom
58202,[Court Sorcerer] Titanite Scale
58300,[Drang Knight] Drang Twinspears
58301,[Drang Knight] Titanite Chunk
58400,[Knight Slayer Tsorig #1] Knight Slayer's Ring
58410,[Knight Slayer Tsorig #2] Knight Slayer's Ring
58411,[Knight Slayer Tsorig #2] Fume Ultra Greatsword
58412,[Knight Slayer Tsorig #2] Black Iron Greatshield
58413,[Knight Slayer Tsorig #2] Twinkling Titanite
58500,[Creighton the Wanderer] Dragonslayer's Axe
58600,[Alva, Seeker of the Spurned] Murakumo
58700,[Longfinger Kirk] Barbed Straight Sword
58701,[Longfinger Kirk] Spiked Shield
58800,[Isabella the Mad] Butcher Knife
58801,[Isabella the Mad] Blight Ring
58802,[Isabella the Mad] Twinkling Titanite
59200,[Livid Pyromancer Dunnel] Floating Chaos
59201,[Livid Pyromancer Dunnel] Vertebra Shackle
59300,[Shira, Knight of Filianore] Crucifix of the Mad King
59301,[Shira, Knight of Filianore] Twinkling Titanite
59400,[Shira, Knight of Filianore] White Birch Bow
59401,[Shira, Knight of Filianore] Twinkling Titanite
59500,[Desert Pyromancer Zoey] Flame Fan
59501,[Desert Pyromancer Zoey] Twinkling Titanite
59600,[Silver Knight Ledo] Ledo's Great Hammer
59700,[Alva, Seeker of the Spurned] Titanite Slab
59800,[Moaning Knight] Blindfold Mask
60200,[Untended Graves] Eyes of a Fire Keeper
60300,[Smouldering Lake] Anri's Straight Sword
60310,[Ludleth of Courland] Twin Princes' Greatsword
60400,[Yuria of Londor] Morion Blade
60410,[Yuria of Londor] Darkdrift - Lord of Hollow reward
60411,[Yuria of Londor] Billed Mask - Lord of Hollow reward
60412,[Yuria of Londor] Black Dress - Lord of Hollow reward
60413,[Yuria of Londor] Black Gauntlets - Lord of Hollow reward
60414,[Yuria of Londor] Black Leggings - Lord of Hollow reward
60600,[Covenant] Blade of the Darkmoon
60610,[Covenant] Darkmoon Ring
60620,[Covenant] Darkmoon Blade
60630,[Covenant] Darkmoon Ring
60631,[Covenant] Darkmoon Blade
60640,Kukri
60700,Titanite Shard
60703,Titanite Shard
60705,INVALID
60710,[Archdragon Peak] Twinkling Dragon Torso Stone - Pray at Altar
60711,[Hawkwood] Twinkling Dragon Head Stone
60720,[Hawkwood] Farron Ring
60730,[Hawkwood] Hawkwood's Shield
60800,[Sirris of the Sunless Realms] Sunless Talisman
60804,[Sirris of the Sunless Realms] Sunless Talisman
60805,[Sirris of the Sunless Realms] Holy Mail Breaker
60806,[Sirris of the Sunless Realms] Silvercat Ring
60810,[Sirris of the Sunless Realms] Sunset Shield
60830,[Sirris of the Sunless Realms] Sunset Helm
60831,[Sirris of the Sunless Realms] Sunset Armor
60832,[Sirris of the Sunless Realms] Sunset Gauntlets
60833,[Sirris of the Sunless Realms] Sunset Leggings
60900,[Ringfinger Leonhard] Cracked Red Eye Orb
60910,[Ringfinger Leonhard] Lift Chamber Key
60920,[Ringfinger Leonhard] Black Eye Orb
60930,[Ringfinger Leonhard] Soul of Rosaria
60931,[Ringfinger Leonhard] Crescent Moon Sword
60932,[Ringfinger Leonhard] Silver Mask
60940,[Darkwraith - High Wall of Lothric] Red Eye Orb
60941,[Darkwraith - High Wall of Lothric] Dark Greatsword
61000,[Andre] Hawkwood's Swordgrass
61200,[Greirat of the Undead Settlement] Blue Tearstone Ring
61300,[Orbeck of Vinheim] Young Dragon Ring
61310,[Orbeck of Vinheim] Slumbering Dragoncrest Ring
61400,[Cornyx of the Great Swamp] Pyromancy Flame
61600,[Undead Settlement] Saint's Talisman
61610,[Cathedral of the Deep] Deep Braille Divine Tome - Mimic drop
61611,[Yuria of Londor] Londor Braille Divine Tome
61900,[Anri of Astora] Ring of the Evil Eye
61930,[Yoel of Londor] Dark Sigil
62000,Rusted Coin
62010,Rusted Gold Coin
62100,[Siegward of Catarina] Siegbräu
62103,[Siegward of Catarina] Siegbräu
